INF | Serving assets from frontend DevServer URL: http://localhost:4000/
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/vue.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/router/index.ts' (file='src/router/index.ts')
DEB | [AssetHandler] File 'src/router/index.ts' not found, serving '/src/router/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/index.ts'
DEB | [AssetHandler] Handling request '/src/store/index.ts' (file='src/store/index.ts')
DEB | [AssetHandler] File 'src/store/index.ts' not found, serving '/src/store/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/index.ts'
DEB | [AssetHandler] Handling request '/src/components/Application/index.ts' (file='src/components/Application/index.ts')
DEB | [AssetHandler] File 'src/components/Application/index.ts' not found, serving '/src/components/Application/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/Application/index.ts'
DEB | [AssetHandler] Handling request '/src/plugins/index.ts' (file='src/plugins/index.ts')
DEB | [AssetHandler] File 'src/plugins/index.ts' not found, serving '/src/plugins/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/plugins/index.ts'
DEB | [AssetHandler] Handling request '/src/directives/index.ts' (file='src/directives/index.ts')
DEB | [AssetHandler] File 'src/directives/index.ts' not found, serving '/src/directives/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/directives/index.ts'
DEB | [AssetHandler] Handling request '/src/components/SvgIcon/index.ts' (file='src/components/SvgIcon/index.ts')
DEB | [AssetHandler] File 'src/components/SvgIcon/index.ts' not found, serving '/src/components/SvgIcon/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/SvgIcon/index.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/chunk-QTVT5IBD.js' (file='node_modules/.vite/deps/chunk-QTVT5IBD.js')
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/chunk-AC2VUBZ6.js' (file='node_modules/.vite/deps/chunk-AC2VUBZ6.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/chunk-AC2VUBZ6.js' not found, serving '/node_modules/.vite/deps/chunk-AC2VUBZ6.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/chunk-AC2VUBZ6.js?v=d6127598'
DEB | [AssetHandler] File 'node_modules/.vite/deps/chunk-QTVT5IBD.js' not found, serving '/node_modules/.vite/deps/chunk-QTVT5IBD.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/chunk-QTVT5IBD.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/plugins/assets.ts' (file='src/plugins/assets.ts')
DEB | [AssetHandler] File 'src/plugins/assets.ts' not found, serving '/src/plugins/assets.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/plugins/assets.ts'
DEB | [AssetHandler] Handling request '/src/plugins/naive.ts' (file='src/plugins/naive.ts')
DEB | [AssetHandler] File 'src/plugins/naive.ts' not found, serving '/src/plugins/naive.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/plugins/naive.ts'
DEB | [AssetHandler] Handling request '/src/components/SvgIcon/SvgIcon.vue' (file='src/components/SvgIcon/SvgIcon.vue')
DEB | [AssetHandler] File 'src/components/SvgIcon/SvgIcon.vue' not found, serving '/src/components/SvgIcon/SvgIcon.vue' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/SvgIcon/SvgIcon.vue'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/pinia.js' (file='node_modules/.vite/deps/pinia.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/pinia.js' not found, serving '/node_modules/.vite/deps/pinia.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/pinia.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/store/modules/index.ts' (file='src/store/modules/index.ts')
DEB | [AssetHandler] File 'src/store/modules/index.ts' not found, serving '/src/store/modules/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/modules/index.ts'
DEB | [AssetHandler] Handling request '/src/components/Application/Application.vue' (file='src/components/Application/Application.vue')
DEB | [AssetHandler] File 'src/components/Application/Application.vue' not found, serving '/src/components/Application/Application.vue' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/Application/Application.vue'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/vue-router.js' (file='node_modules/.vite/deps/vue-router.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/vue-router.js' not found, serving '/node_modules/.vite/deps/vue-router.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/vue-router.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/router/guard/index.ts' (file='src/router/guard/index.ts')
DEB | [AssetHandler] File 'src/router/guard/index.ts' not found, serving '/src/router/guard/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/guard/index.ts'
DEB | [AssetHandler] Handling request '/src/router/util.ts' (file='src/router/util.ts')
DEB | [AssetHandler] File 'src/router/util.ts' not found, serving '/src/router/util.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/util.ts'
DEB | [AssetHandler] Handling request '/src/router/constant.ts' (file='src/router/constant.ts')
DEB | [AssetHandler] File 'src/router/constant.ts' not found, serving '/src/router/constant.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/constant.ts'
DEB | [AssetHandler] Handling request '/src/directives/clickOutside.ts' (file='src/directives/clickOutside.ts')
DEB | [AssetHandler] File 'src/directives/clickOutside.ts' not found, serving '/src/directives/clickOutside.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/directives/clickOutside.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/chunk-7FXHVWVT.js' (file='node_modules/.vite/deps/chunk-7FXHVWVT.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/chunk-7FXHVWVT.js' not found, serving '/node_modules/.vite/deps/chunk-7FXHVWVT.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/chunk-7FXHVWVT.js?v=d6127598'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/chunk-RKM4MHWD.js' (file='node_modules/.vite/deps/chunk-RKM4MHWD.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/chunk-RKM4MHWD.js' not found, serving '/node_modules/.vite/deps/chunk-RKM4MHWD.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/chunk-RKM4MHWD.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/store/modules/asyncRoute.ts' (file='src/store/modules/asyncRoute.ts')
DEB | [AssetHandler] File 'src/store/modules/asyncRoute.ts' not found, serving '/src/store/modules/asyncRoute.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/modules/asyncRoute.ts'
DEB | [AssetHandler] Handling request '/src/store/modules/designSetting.ts' (file='src/store/modules/designSetting.ts')
DEB | [AssetHandler] File 'src/store/modules/designSetting.ts' not found, serving '/src/store/modules/designSetting.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/modules/designSetting.ts'
DEB | [AssetHandler] Handling request '/src/store/modules/projectSetting.ts' (file='src/store/modules/projectSetting.ts')
DEB | [AssetHandler] File 'src/store/modules/projectSetting.ts' not found, serving '/src/store/modules/projectSetting.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/modules/projectSetting.ts'
DEB | [AssetHandler] Handling request '/src/store/modules/tabsView.ts' (file='src/store/modules/tabsView.ts')
DEB | [AssetHandler] File 'src/store/modules/tabsView.ts' not found, serving '/src/store/modules/tabsView.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/modules/tabsView.ts'
DEB | [AssetHandler] Handling request '/src/store/modules/user.ts' (file='src/store/modules/user.ts')
DEB | [AssetHandler] File 'src/store/modules/user.ts' not found, serving '/src/store/modules/user.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/store/modules/user.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/index.ts' (file='src/utils/common/index.ts')
DEB | [AssetHandler] File 'src/utils/common/index.ts' not found, serving '/src/utils/common/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/index.ts'
DEB | [AssetHandler] Handling request '/src/router/guard/dynamic.ts' (file='src/router/guard/dynamic.ts')
DEB | [AssetHandler] File 'src/router/guard/dynamic.ts' not found, serving '/src/router/guard/dynamic.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/guard/dynamic.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/@vueuse_core.js' (file='node_modules/.vite/deps/@vueuse_core.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/@vueuse_core.js' not found, serving '/node_modules/.vite/deps/@vueuse_core.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/@vueuse_core.js?v=d6127598'
DEB | [AssetHandler] Handling request '/@id/plugin-vue:export-helper' (file='@id/plugin-vue:export-helper')
DEB | [AssetHandler] File '@id/plugin-vue:export-helper' not found, serving '/@id/plugin-vue:export-helper' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/@id/plugin-vue:export-helper'
DEB | [AssetHandler] Handling request '/__uno.css' (file='__uno.css')
DEB | [AssetHandler] File '__uno.css' not found, serving '/__uno.css' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/__uno.css'
DEB | [AssetHandler] Handling request '/@id/virtual:svg-icons-register' (file='@id/virtual:svg-icons-register')
DEB | [AssetHandler] File '@id/virtual:svg-icons-register' not found, serving '/@id/virtual:svg-icons-register' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/@id/virtual:svg-icons-register'
DEB | [AssetHandler] Handling request '/src/styles/css/global.css' (file='src/styles/css/global.css')
DEB | [AssetHandler] File 'src/styles/css/global.css' not found, serving '/src/styles/css/global.css' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/styles/css/global.css'
DEB | [AssetHandler] Handling request '/src/enums/index.ts' (file='src/enums/index.ts')
DEB | [AssetHandler] File 'src/enums/index.ts' not found, serving '/src/enums/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/enums/index.ts'
DEB | [AssetHandler] Handling request '/src/router/routes/about.ts' (file='src/router/routes/about.ts')
DEB | [AssetHandler] File 'src/router/routes/about.ts' not found, serving '/src/router/routes/about.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/routes/about.ts'
DEB | [AssetHandler] Handling request '/src/router/routes/frame.ts' (file='src/router/routes/frame.ts')
DEB | [AssetHandler] File 'src/router/routes/frame.ts' not found, serving '/src/router/routes/frame.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/routes/frame.ts'
DEB | [AssetHandler] Handling request '/src/router/routes/instance-detail.ts' (file='src/router/routes/instance-detail.ts')
DEB | [AssetHandler] File 'src/router/routes/instance-detail.ts' not found, serving '/src/router/routes/instance-detail.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/routes/instance-detail.ts'
DEB | [AssetHandler] Handling request '/src/router/routes/instance-list.ts' (file='src/router/routes/instance-list.ts')
DEB | [AssetHandler] File 'src/router/routes/instance-list.ts' not found, serving '/src/router/routes/instance-list.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/routes/instance-list.ts'
DEB | [AssetHandler] Handling request '/src/router/routes/setting.ts' (file='src/router/routes/setting.ts')
DEB | [AssetHandler] File 'src/router/routes/setting.ts' not found, serving '/src/router/routes/setting.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/router/routes/setting.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/naive-ui.js' (file='node_modules/.vite/deps/naive-ui.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/naive-ui.js' not found, serving '/node_modules/.vite/deps/naive-ui.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/naive-ui.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/settings/index.ts' (file='src/settings/index.ts')
DEB | [AssetHandler] File 'src/settings/index.ts' not found, serving '/src/settings/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/settings/index.ts'
DEB | [AssetHandler] Handling request '/src/utils/index.ts' (file='src/utils/index.ts')
DEB | [AssetHandler] File 'src/utils/index.ts' not found, serving '/src/utils/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/index.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/highlight__js_lib_core.js' (file='node_modules/.vite/deps/highlight__js_lib_core.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/highlight__js_lib_core.js' not found, serving '/node_modules/.vite/deps/highlight__js_lib_core.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/highlight__js_lib_core.js?v=d6127598'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/highlight__js_lib_languages_yaml.js' (file='node_modules/.vite/deps/highlight__js_lib_languages_yaml.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/highlight__js_lib_languages_yaml.js' not found, serving '/node_modules/.vite/deps/highlight__js_lib_languages_yaml.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/highlight__js_lib_languages_yaml.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/App.vue' (file='src/App.vue')
DEB | [AssetHandler] File 'src/App.vue' not found, serving '/src/App.vue' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/App.vue?vue&type=style&index=0&lang.less'
DEB | [AssetHandler] Handling request '/src/api/system/user.ts' (file='src/api/system/user.ts')
DEB | [AssetHandler] File 'src/api/system/user.ts' not found, serving '/src/api/system/user.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/api/system/user.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/is.ts' (file='src/utils/common/is.ts')
DEB | [AssetHandler] File 'src/utils/common/is.ts' not found, serving '/src/utils/common/is.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/is.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/dom.ts' (file='src/utils/common/dom.ts')
DEB | [AssetHandler] File 'src/utils/common/dom.ts' not found, serving '/src/utils/common/dom.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/dom.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/storage.ts' (file='src/utils/common/storage.ts')
DEB | [AssetHandler] File 'src/utils/common/storage.ts' not found, serving '/src/utils/common/storage.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/storage.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/lodash.ts' (file='src/utils/common/lodash.ts')
DEB | [AssetHandler] File 'src/utils/common/lodash.ts' not found, serving '/src/utils/common/lodash.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/lodash.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/propTypes.ts' (file='src/utils/common/propTypes.ts')
DEB | [AssetHandler] File 'src/utils/common/propTypes.ts' not found, serving '/src/utils/common/propTypes.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/propTypes.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/theme.ts' (file='src/utils/common/theme.ts')
DEB | [AssetHandler] File 'src/utils/common/theme.ts' not found, serving '/src/utils/common/theme.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/theme.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/props.ts' (file='src/utils/common/props.ts')
DEB | [AssetHandler] File 'src/utils/common/props.ts' not found, serving '/src/utils/common/props.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/props.ts'
DEB | [AssetHandler] Handling request '/src/utils/common/url.ts' (file='src/utils/common/url.ts')
DEB | [AssetHandler] File 'src/utils/common/url.ts' not found, serving '/src/utils/common/url.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/common/url.ts'
DEB | [AssetHandler] Handling request '/src/components/MessageContent/index.vue' (file='src/components/MessageContent/index.vue')
DEB | [AssetHandler] File 'src/components/MessageContent/index.vue' not found, serving '/src/components/MessageContent/index.vue' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/MessageContent/index.vue'
DEB | [AssetHandler] Handling request '/src/components/DialogContent/index.vue' (file='src/components/DialogContent/index.vue')
DEB | [AssetHandler] File 'src/components/DialogContent/index.vue' not found, serving '/src/components/DialogContent/index.vue' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/DialogContent/index.vue'
DEB | [AssetHandler] Handling request '/src/components/MessageContent/index.ts' (file='src/components/MessageContent/index.ts')
DEB | [AssetHandler] File 'src/components/MessageContent/index.ts' not found, serving '/src/components/MessageContent/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/MessageContent/index.ts'
DEB | [AssetHandler] Handling request '/src/components/DialogContent/index.ts' (file='src/components/DialogContent/index.ts')
DEB | [AssetHandler] File 'src/components/DialogContent/index.ts' not found, serving '/src/components/DialogContent/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/components/DialogContent/index.ts'
DEB | [AssetHandler] Handling request '/src/enums/common.ts' (file='src/enums/common.ts')
DEB | [AssetHandler] File 'src/enums/common.ts' not found, serving '/src/enums/common.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/enums/common.ts'
DEB | [AssetHandler] Handling request '/src/enums/business.ts' (file='src/enums/business.ts')
DEB | [AssetHandler] File 'src/enums/business.ts' not found, serving '/src/enums/business.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/enums/business.ts'
DEB | [AssetHandler] Handling request '/src/utils/naive/index.ts' (file='src/utils/naive/index.ts')
DEB | [AssetHandler] File 'src/utils/naive/index.ts' not found, serving '/src/utils/naive/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/naive/index.ts'
DEB | [AssetHandler] Handling request '/src/utils/menu/index.ts' (file='src/utils/menu/index.ts')
DEB | [AssetHandler] File 'src/utils/menu/index.ts' not found, serving '/src/utils/menu/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/menu/index.ts'
DEB | [AssetHandler] Handling request '/src/utils/router/index.ts' (file='src/utils/router/index.ts')
DEB | [AssetHandler] File 'src/utils/router/index.ts' not found, serving '/src/utils/router/index.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/router/index.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/@vicons_antd.js' (file='node_modules/.vite/deps/@vicons_antd.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/@vicons_antd.js' not found, serving '/node_modules/.vite/deps/@vicons_antd.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/@vicons_antd.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/settings/designSetting.ts' (file='src/settings/designSetting.ts')
DEB | [AssetHandler] Handling request '/src/settings/projectSetting.ts' (file='src/settings/projectSetting.ts')
DEB | [AssetHandler] File 'src/settings/projectSetting.ts' not found, serving '/src/settings/projectSetting.ts' by AssetHandler
DEB | [AssetHandler] File 'src/settings/designSetting.ts' not found, serving '/src/settings/designSetting.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/settings/designSetting.ts'
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/settings/projectSetting.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/chunk-HFFX6WXW.js' (file='node_modules/.vite/deps/chunk-HFFX6WXW.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/chunk-HFFX6WXW.js' not found, serving '/node_modules/.vite/deps/chunk-HFFX6WXW.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/chunk-HFFX6WXW.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/api/fetch.ts' (file='src/api/fetch.ts')
DEB | [AssetHandler] File 'src/api/fetch.ts' not found, serving '/src/api/fetch.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/api/fetch.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/lodash-es.js' (file='node_modules/.vite/deps/lodash-es.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/lodash-es.js' not found, serving '/node_modules/.vite/deps/lodash-es.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/lodash-es.js?v=d6127598'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/lodash_cloneDeep.js' (file='node_modules/.vite/deps/lodash_cloneDeep.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/lodash_cloneDeep.js' not found, serving '/node_modules/.vite/deps/lodash_cloneDeep.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/lodash_cloneDeep.js?v=d6127598'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/vue-types.js' (file='node_modules/.vite/deps/vue-types.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/vue-types.js' not found, serving '/node_modules/.vite/deps/vue-types.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/vue-types.js?v=d6127598'
DEB | [AssetHandler] Handling request '/src/utils/router/filter-router.ts' (file='src/utils/router/filter-router.ts')
DEB | [AssetHandler] File 'src/utils/router/filter-router.ts' not found, serving '/src/utils/router/filter-router.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/router/filter-router.ts'
DEB | [AssetHandler] Handling request '/src/utils/router/is-root-router.ts' (file='src/utils/router/is-root-router.ts')
DEB | [AssetHandler] File 'src/utils/router/is-root-router.ts' not found, serving '/src/utils/router/is-root-router.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/router/is-root-router.ts'
DEB | [AssetHandler] Handling request '/src/utils/menu/get-children-router.ts' (file='src/utils/menu/get-children-router.ts')
DEB | [AssetHandler] File 'src/utils/menu/get-children-router.ts' not found, serving '/src/utils/menu/get-children-router.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/menu/get-children-router.ts'
DEB | [AssetHandler] Handling request '/src/utils/menu/mix-generate-menu.ts' (file='src/utils/menu/mix-generate-menu.ts')
DEB | [AssetHandler] File 'src/utils/menu/mix-generate-menu.ts' not found, serving '/src/utils/menu/mix-generate-menu.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/menu/mix-generate-menu.ts'
DEB | [AssetHandler] Handling request '/src/utils/menu/recur-generate-menu.ts' (file='src/utils/menu/recur-generate-menu.ts')
DEB | [AssetHandler] File 'src/utils/menu/recur-generate-menu.ts' not found, serving '/src/utils/menu/recur-generate-menu.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/menu/recur-generate-menu.ts'
DEB | [AssetHandler] Handling request '/src/utils/naive/render-icon.ts' (file='src/utils/naive/render-icon.ts')
DEB | [AssetHandler] File 'src/utils/naive/render-icon.ts' not found, serving '/src/utils/naive/render-icon.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/naive/render-icon.ts'
DEB | [AssetHandler] Handling request '/src/utils/naive/render-tag.ts' (file='src/utils/naive/render-tag.ts')
DEB | [AssetHandler] File 'src/utils/naive/render-tag.ts' not found, serving '/src/utils/naive/render-tag.ts' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/src/utils/naive/render-tag.ts'
DEB | [AssetHandler] Handling request '/node_modules/.vite/deps/axios.js' (file='node_modules/.vite/deps/axios.js')
DEB | [AssetHandler] File 'node_modules/.vite/deps/axios.js' not found, serving '/node_modules/.vite/deps/axios.js' by AssetHandler
DEB | [ExternalAssetHandler] Loading 'http://localhost:4000/node_modules/.vite/deps/axios.js?v=d6127598'
